lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,lon,lat,entidad,tipo_reporte,
,Derrumbe,Puebla y Salamanca,Roma Norte,Puebla,282,,5,,8,6,"https://www.google.com.mx/maps/place/Puebla+282,+Roma+Nte.,+06700+Ciudad+de+M%C3%A9xico,+CDMX/@19.4210929,-99.1712992,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff4814d6ddc7:0x8bfb4e0493ab434e!8m2!3d19.4210929!4d-99.1691105?hl=es-419",-99.1710000000,19.4210000000,cdmx,proteccion civil,
,Derrumbe,puebla y orizaba,Niños Héroes de Chapultepec,Galicia,452,,,,,,https://goo.gl/maps/q2wsnhpWFuw,-99.1462650000,19.3877512000,Ciudad de México,,
residencial,Derrumbe,Esquina Eje 7 Sur,Emperadores,Peten,915,,,,,,"https://www.google.com.mx/maps/@19.3667934,-99.1568785,3a,75y,295.71h,96.96t/data=!3m6!1e1!3m4!1s5ZnIqR-RvoJCY28tbMaXUQ!2e0!7i13312!8i6656?hl=es-419",-99.1568780000,19.3667934000,CdMx,Red de monitoreo,"cascos y picos, relevo a las 2pm"
residencial,Derrumbe,patricio sans y california,del valle,,,,,,,,"https://www.google.com.mx/maps/@19.3816149,-99.1726883,3a,75y,307.09h,90t/data=!3m7!1e1!3m5!1sWUsPCG2RUyCov7Sagz3hJQ!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DWUsPCG2RUyCov7Sagz3hJQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D308.71088%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656",-99.1726883000,19.3816149000,cdmx,,
,Derrumbe,Paseo de las Galias y av tlahuac,lomas estrella,,,18,,,5,45,"https://www.google.com.mx/maps/place/Eje+10+Sur+%26+Paseo+de+Las+Galias,+Lomas+Estrella+2da+Secc,+09890+Ciudad+de+M%C3%A9xico,+CDMX/@19.3221705,-99.0972076,19.52z/data=!4m5!3m4!1s0x85ce021e97ec11b7:0xeb8e46f2576e7935!8m2!3d19.3223825!4d-99.0972587",-99.097,19.322,cdmx,proteccion civil,
Residencial,Derrumbe,Irolo y Valdivia,Zacahuitzco,Bretaña,90,3,,,,,"https://www.google.com.mx/maps/place/Breta%C3%B1a+%26+Palmarola,+Zacahuitzco,+Ciudad+de+M%C3%A9xico,+CDMX/@19.372785,-99.1381289,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe4fbfd8fb8f:0xc65a4a9c08c1f656!8m2!3d19.37278!4d-99.1359402",-99.1380000000,19.3730000000,cdmx,proteccion civil,
,Derrumbe,niños heroes y galicia,Niños heroes,,,,,,,,"https://www.google.com.mx/maps/place/Av.+Ni%C3%B1os+Heroes+de+Chapultepec+%26+Calle+Galicia,+Ni%C3%B1os+H%C3%A9roes,+03440+Ciudad+de+M%C3%A9xico,+CDMX/@19.3877398,-99.1484456,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff002537e27f:0x9d41e35f1e33ea31!8m2!3d19.3877398!4d-99.1462569?hl=es-419",-99.148,19.388,cdmx,proteccion civil,
,Derrumbe,miravalle y balsas,miravalle,,,sin determinar,sin determinar,,12,,"https://www.google.com.mx/maps/place/Miravalle+%26+Balsas,+sineo,+Miravalle,+03580+Ciudad+de+M%C3%A9xico,+CDMX/@19.3607118,-99.1427674,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1fe35dc5137d7:0xb67381d0eff70714!8m2!3d19.3607118!4d-99.1405787?hl=es-419",-99.143,19.361,cdmx,proteccion civil,
,Derrumbe,miramontes y calzada del hueso,los girasoles,,,,,,3,,"https://www.google.com.mx/maps/place/Churrascaria+Coapa/@19.3060213,-99.1263214,17z/data=!4m5!3m4!1s0x85ce0106b83b3f61:0xd360d40778f85781!8m2!3d19.30995!4d-99.124358",-99.1260000000,19.3060000000,cdmx,proteccion civil,
,Derrumbe,mina 16 y 2 de abril,guerrero,,,,,,,,"https://www.google.com.mx/maps/place/Calle+Mina+%26+2+de+Abril,+Centro+Hist%C3%B3rico,+Guerrero,+06300+Ciudad+de+M%C3%A9xico,+CDMX/@19.4385038,-99.1428839,17.14z/data=!4m5!3m4!1s0x85d1f92bdf7b3315:0x915d1f044e8bfb2b!8m2!3d19.4388871!4d-99.1416908?hl=es-419",-99.1418991000,19.4383443000,cdmx,,
